rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.9933891953345404,0.0,0.9955814477091072,0.0,0.21472740173339844,0.0,0.008029460906982422,0.0,1e-06,0.01,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.01}",0.9933891953345404,0.9955814477091072
1,0.9933891953345404,0.0,0.9955814477091072,0.0,0.34755468368530273,0.0,0.0017285346984863281,0.0,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.9933891953345404,0.9955814477091072
1,0.9933891953345404,0.0,0.9955814477091072,0.0,0.18410372734069824,0.0,0.0019009113311767578,0.0,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.9933891953345404,0.9955814477091072
1,0.9933891953345404,0.0,0.9955814477091072,0.0,0.12950778007507324,0.0,0.005915164947509766,0.0,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.9933891953345404,0.9955814477091072
5,0.9802639849151477,0.0,0.9845484752339757,0.0,0.3416471481323242,0.0,0.014147758483886719,0.0,1e-06,0.001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.001}",0.9802639849151477,0.9845484752339757
5,0.9802639849151477,0.0,0.9845484752339757,0.0,0.5178558826446533,0.0,0.014198780059814453,0.0,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.9802639849151477,0.9845484752339757
5,0.9802639849151477,0.0,0.9845484752339757,0.0,0.6223881244659424,0.0,0.01335453987121582,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.9802639849151477,0.9845484752339757
5,0.9802639849151477,0.0,0.9845484752339757,0.0,0.3250441551208496,0.0,0.009132623672485352,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.9802639849151477,0.9845484752339757
9,0.7496012759170654,0.0,0.8170564098478209,0.0,0.5902502536773682,0.0,0.0019066333770751953,0.0,1e-06,0.0001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.0001}",0.7496012759170654,0.8170564098478209
9,0.7496012759170654,0.0,0.8170564098478209,0.0,0.8292250633239746,0.0,0.0019278526306152344,0.0,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.7496012759170654,0.8170564098478209
9,0.7496012759170654,0.0,0.8170564098478209,0.0,0.9261913299560547,0.0,0.0017926692962646484,0.0,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.7496012759170654,0.8170564098478209
9,0.7496012759170654,0.0,0.8170564098478209,0.0,0.4981975555419922,0.0,0.002171039581298828,0.0,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.7496012759170654,0.8170564098478209
13,0.4631938857602575,0.0,0.4241096866096866,0.0,0.1871178150177002,0.0,0.002000093460083008,0.0,1e-06,1e-05,"{'model__alpha': 1e-06, 'model__learning_rate_init': 1e-05}",0.4631938857602575,0.4241096866096866
13,0.4631938857602575,0.0,0.4241096866096866,0.0,0.17786502838134766,0.0,0.006605386734008789,0.0,1e-05,1e-05,"{'model__alpha': 1e-05, 'model__learning_rate_init': 1e-05}",0.4631938857602575,0.4241096866096866
13,0.4631938857602575,0.0,0.4241096866096866,0.0,0.26103806495666504,0.0,0.0018711090087890625,0.0,0.0001,1e-05,"{'model__alpha': 0.0001, 'model__learning_rate_init': 1e-05}",0.4631938857602575,0.4241096866096866
13,0.4631938857602575,0.0,0.4241096866096866,0.0,0.14696311950683594,0.0,0.0018277168273925781,0.0,0.001,1e-05,"{'model__alpha': 0.001, 'model__learning_rate_init': 1e-05}",0.4631938857602575,0.4241096866096866
